Name,River,Tide,Wave
Amazon,31142,89201.90727,65.56156921
Apalachicola,206.6397748,27.44550306,135.4905243
Atchafayla,10.34172697,1.728309347,0.10712772
Ceyhan,315.44,5.616454468,204.9078674
ChaoPhraya,891.08,820.7739534,4.754134921
Colorado,7722,2947.842081,120.4563293
Colville,151.3259253,6.014894835,472.6096802
Danube,4294.8,53.83071898,204.2640839
Dnieper,638.6552613,9.832325231,3.041853531
Don,1082.701477,0.862841926,4.264636123
Dvina,203.099901,22.48884503,3.646265955
Ebro,703.11,10.22358792,259.1760254
Eel,76.182,12.42684752,8331.473633
Fly,2585.9,9273.395041,689.3109131
GBM,53453,114845.1469,180.6237183
Godavari,3336.8,617.9877605,1781.167725
Hong,2590.1,1975.180685,466.3325195
Huanghe,7281.5,609.0483466,307.3218994
Indigirka,1913.7,4.078368056,77.920578
Indus,24097,13574.82553,3409.283203
Irrawaddy,10031,19069.57623,2901.693848
Klamath,171.15,5.010261159,7446.224121
Kobuk,107.7823379,0.275576854,0.556851447
Kolyma,2591.1,42.80786158,114.3210754
Krishna,2422.5,558.5358513,1194.750977
Kuparuk,18.8045482,0.237950279,377.6781616
Lena,5437.9,388.2412296,92.76947021
Limpopo,878.96,147.1623516,2382.782715
Magdalena,8134.1,255.7185317,8309.488281
Mahakam,1301.767739,2096.623475,105.5886383
Mekong,15737,61806.62109,2626.950684
Mississippi,27284,657.5772295,314.7913818
Nadym,13.77539262,0.001855384,3.345844746
Niger,13654,6823.207996,2670.717529
Nile,33631,526.2499833,1254.608276
Ob,3952.400871,4.121355955,3.397010565
Orange,710.17,5.164672198,9652.353516
Orinoco,19594,7358.357357,3803.660156
Parana,8202.8,475.5310631,5.509755611
ParanaRO,-9999,-9999,-9999
Pearl,5385.6,7793.089798,426.1865845
Po,959.87,340.7247645,177.1982574
Pur,94.11566384,0.010729875,0.842856646
Rhone,1605.2,32.19935285,124.5908051
Rufiji,920.3838761,523.3370795,1598.721924
SaoFrancisco,2536.9,2582.421348,2220.898926
Selenga,-9999,-9999,-9999
TigrisEuphrates,18362,1547.708323,79.20109558
Waipaoa,6.1308,0.378326026,1189.610352
Wax,10.34172697,1.643215417,0.10712772
Yana,925.56,2.766314744,96.97520447
Yangtze,6097.6,19471.23096,64.96313477
Yenisei,3416.000417,15.72984338,1.515038967
Yukon,3307.6,2571.757191,92.5947113
Zambezi,6944.335119,11231.54093,2318.181396
